,success,timeout,failed_images,failed_audio,failed_video,trial_type,trial_index,time_elapsed,internal_node_id,view_history,rt,response,condition
1,,,,,,image-button-response,14,10181,0.0-3.0-1.0-0.0,,868.0,1.0,1.0
2,,,,,,image-button-response,15,10702,0.0-3.0-1.0-1.0,,520.0,-1.0,1.0
3,,,,,,image-button-response,16,11335,0.0-3.0-1.0-2.0,,632.0,-1.0,1.0
4,,,,,,image-button-response,17,11817,0.0-3.0-1.0-3.0,,478.0,-1.0,1.0
5,,,,,,image-button-response,18,12327,0.0-3.0-1.0-4.0,,507.0,-1.0,1.0
6,,,,,,image-button-response,19,12846,0.0-3.0-1.0-5.0,,518.0,-1.0,1.0
7,,,,,,image-button-response,20,13403,0.0-3.0-1.0-6.0,,555.0,-1.0,1.0
8,,,,,,image-button-response,21,14008,0.0-3.0-1.0-7.0,,604.0,1.0,1.0
9,,,,,,image-button-response,22,14527,0.0-3.0-1.0-8.0,,518.0,-1.0,1.0
10,,,,,,image-button-response,23,15059,0.0-3.0-1.0-9.0,,531.0,1.0,1.0
